1	Recomendo	806749	65	80674	
2	Surrey	252891	81	25289	
3	Phan	633362	76	63336	
4	Rajin	1709266	92	341853	
5	Lesbian	21155	59	2115	
6	piscesmama	1898383	110	379676	
7	Patricia	663530	78	66353	
8	Oo	506589	101	50658	
9	Dulay	2556	76	255	
10	SAVO	208895	96	20889	
11	andreidore	354016	108	35401	
12	Dj	557727	68	55772	
13	Alfred	1086188	59	217237	
14	Minock	251660	90	25166	
15	Shidabear	1847565	108	369513	
16	Manong	90730	68	9073	
17	msritter	564449	74	56444	
18	Leslie	40171	66	4017	
19	Solomon	20566	65	2056	
20	Sabadini	1880903	84	376180	
21	Ecards	134230	107	13423	
22	Natchapan	30862	74	3086	
23	Stephen	1027870	116	205574	
24	Leal	403477	72	40347	
25	Navarro	60723	101	6072	
26	HitmanDiz	562726	78	56272	
27	Luther	68000	61	6800	
28	J	12638	78	1263	
29	Shao	503732	89	50373	
30	jokers	2867735	97	860320	
31	shzad	94194	70	9419	
32	Zurie	4840	73	484	
33	tekkonkinkuri	562301	72	56230	
34	Isabele	110062	63	11006	
35	Josh	126103	70	12610	
36	Leo	669473	99	66947	
37	StHallettWines	33772	78	3377	
38	Sai	372147	83	37214	
39	Lentini	274616	61	27461	
40	Athar	967854	112	96785	
41	Medusa	554449	106	55444	
42	Six	39578	88	3957	
43	TBC	562301	87	56230	
44	Capcara	717591	93	71759	
45	Harriet	185183	120	18518	
46	Lee	20557	50	2055	
47	i	26371	86	2637	
48	Hache	116534	96	11653	
49	Parker	796464	95	79646	
50	Mar	296912	45	29691	
51	Andy	35647	67	3564	
52	Campbell	1144306	87	228861	
53	Yo	12998	78	1299	
54	uno	361889	73	36188	
55	Kaufman	196759	70	19675	
56	paranacine	2621	73	262	
57	Watson	58059	33	5805	
58	megatest	739195	70	73919	
59	Mogwai	680743	96	68074	
60	corredor	48595	68	4859	
61	piscesmama	235372	99	23537	
62	Petite	720163	89	72016	
63	Andrade	1372154	108	274430	
64	welch	10531	99	1053	
65	Omar	602453	68	60245	
66	Murda	820335	76	82033	
67	Ann	257	73	25	
68	H	99566	87	9956	
69	Man	28737	66	2873	
70	Connie	363950	79	36395	
71	scene	184345	68	18434	
72	Nazirah	943522	74	94352	
73	Costello	125314	86	12531	
74	Amos	192974	70	19297	
75	Irisys	153643	61	15364	
76	Th	2077893	73	623367	
77	CSS	1432528	68	286505	
78	Desroses	638030	75	63803	
79	Anthony	200943	47	20094	
80	Badley	670203	64	67020	
81	track	363671	83	36367	
82	I	180256	57	18025	
83	its	1907326	98	381465	
84	Darius	152724	81	15272	
85	Lianne	378386	61	37838	
86	Segundo	5345	98	534	
87	SEVENth	1488109	60	297621	
88	upenzi	1545844	82	309168	
89	Lorna	87334	99	8733	
90	Turner	81967	78	8196	
91	Vincentius	3476	67	347	
92	KITECH	10621	35	1062	
93	Modzelewski	5899	64	589	
94	ALS	454952	79	45495	
95	Rooney	248747	43	24874	
96	Emily	726604	94	72660	
97	Kotarski	13664	56	1366	
98	YoungMinds	328932	61	32893	
99	Rozencwajg	78556	98	7855	
100	Ignacio	769740	66	76974	
101	Whitfield	202706	119	20270	
102	YODASON	101523	48	10152	
103	Harville	942853	100	94285	
104	North	1213917	74	242783	
105	devops	161612	82	16161	
106	Ansani	1516694	50	303338	
107	Ali	128188	67	12818	
108	Clint	120849	44	12084	
109	Edison	427158	76	42715	
110	its	14119	64	1411	
111	Aika	281899	105	28189	
112	Alam	259669	116	25966	
113	Roca	351805	72	35180	
114	Dale	486197	74	48619	
115	Marcelo	547275	94	54727	
116	Sato	1630940	110	326188	
117	Vito	1418	80	141	
118	Murda	134923	64	13492	
119	jmaza	869418	88	86941	
120	Salt	452661	81	45266	
121	Issei	603430	48	60343	
122	Pretty	131192	61	13119	
123	Mark	157505	115	15750	
124	English	301123	51	30112	
125	Marisol	253967	42	25396	
126	Naleem	214494	88	21449	
127	Wei	159379	56	15937	
128	Enchante	745409	120	74540	
129	Oren	251414	90	25141	
130	Solomon	513669	84	51366	
131	Arnold	14070	63	1407	
132	pin	387867	81	38786	
133	Roberts	396258	104	39625	
134	Luc	1212	26	121	
135	Center	586	27	58	
136	Champ	2634091	61	790227	
137	Amira	185551	81	18555	
138	Lehane	35039	103	3503	
139	Ann	1686896	58	337379	
140	IH	971867	65	97186	
141	Krabbendam	293444	89	29344	
142	Leo	3673	50	367	
143	Joy	2029219	82	608765	
144	silk	29196	61	2919	
145	Kaboli	393586	66	39358	
146	delma	387262	96	38726	
147	Caruso	427594	91	42759	
148	TBC	53480	72	5348	
149	Ausberto	455160	94	45516	
150	Angeles	767517	78	76751	
151	o	328504	81	32850	
152	Erick	38523	108	3852	
153	Ripoll	811947	99	81194	
154	JR	700561	84	70056	
155	Lior	275556	68	27555	
156	Raphael	319049	70	31904	
157	Will	1078099	95	215619	
158	Deborah	56178	61	5617	
159	Horrell	393876	51	39387	
160	Woodward	89709	97	8970	
161	v	415372	68	41537	
162	Melissa	295329	99	29532	
163	Veros	138243	91	13824	
164	srizzle	76761	141	7676	
165	Janxi	799708	101	79970	
166	hattie	365810	62	36581	
167	Caponera	1248684	65	249736	
168	Noel	1553809	68	310761	
169	Internet	101708	55	10170	
170	Margarita	272506	100	27250	
171	iAcceso	122251	72	12225	
172	Shambler	457813	91	45781	
173	Sandra	166428	65	16642	
174	DelDuca	448440	67	44844	
175	Pat	208723	91	20872	
176	Win	450347	79	45034	
177	Philadelphia	276906	68	27690	
178	sensor	367131	80	36713	
179	Flannery	230012	67	23001	
180	Shidabear	49581	107	4958	
181	Thompson	313615	92	31361	
182	KZ	228516	70	22851	
183	Jayhawk	177553	31	17755	
184	Mercades	142190	49	14219	
185	StHallettWines	16895	71	1689	
186	This	13115	57	1311	
187	Hirschy	965417	59	96541	
188	Garcia	556763	110	55676	
189	Higa	862243	93	86224	
190	Network	82052	114	8205	
191	its	194995	84	19499	
192	Ergan	5758	88	575	
193	track	24797	96	2479	
194	Buzz	268030	72	26803	
195	Joana	49984	95	4998	
196	YT	13345	79	1334	
197	d	147427	102	14742	
198	McCrae	146663	91	14666	
199	tips	232577	50	23257	
200	December	8459	75	845	
201	Arnold	44261	92	4426	
202	Torres	437	70	43	
203	Collier	721375	105	72137	
204	corredor	59665	67	5966	
205	Siobhan	11817	73	1181	
206	Darius	897686	66	89768	
207	CristalOnAir	325780	87	32578	
208	Quarles	93740	85	9374	
209	Bedford	210774	76	21077	
210	to	2169810	106	650943	
211	McNeill	48664	79	4866	
212	Syazwan	18230	59	1823	
213	Puisi	202177	32	20217	
214	Za	7544	83	754	
215	Janxi	568818	80	56881	
216	Six	109728	82	10972	
217	Paulo	577634	45	57763	
218	Nasos	10705	110	1070	
219	Carlos	1588117	94	317623	
220	UnLtd	39035	91	3903	
221	michelle	57515	53	5751	
222	amanda	208003	71	20800	
223	Dulay	159986	88	15998	
224	Secret	1200892	74	240178	
225	McGhie	264170	109	26417	
226	renegadeZERO	648907	93	64890	
227	Jayhawk	62306	82	6230	
228	CYNTHIA	45599	73	4559	
229	Monteleone	600623	91	60062	
230	Linda	158517	85	15851	
231	Jeff	199225	101	19922	
232	Aika	26022	64	2602	
233	Neuman	533861	14	53386	
234	Felicity	44684	89	4468	
235	y	8040	56	804	
236	ashleyRHAE	683839	47	68383	
237	Hammarberg	155455	75	15545	
238	Chong	277542	92	27754	
239	IOL	2045355	83	613606	
240	Engman	1815553	94	363110	
241	beba	4336905	77	1734762	
242	Basic	145518	100	14551	
243	Deeply	49559	96	4955	
244	odiolitos	409072	65	40907	
245	silk	881949	54	88194	
246	StHallettWines	39703	92	3970	
247	Hyphy	552506	89	55250	
248	chyugen	79789	97	7978	
249	Prempeh	285270	84	28527	
250	Diamond	39155	91	3915	
251	Villafuerte	2077849	62	623354	
252	Perry	1478760	52	295752	
253	Monteleone	894207	109	89420	
254	Lauren	1147674	69	229534	
255	annkempster	804224	97	80422	
256	Lucas	15213	73	1521	
257	Edison	19841	95	1984	
258	Svea	609992	78	60999	
259	Felipe	1852352	78	370470	
260	Montoni	474759	106	47475	
261	is	62536	63	6253	
262	Annabel	38863	58	3886	
263	Thompson	508300	76	50830	
264	Isaac	28665	48	2866	
265	McClary	360842	75	36084	
266	Dela	2357483	98	707244	
267	trott	235417	86	23541	
268	L	109691	80	10969	
269	Breaking	27991	76	2799	
270	Mumma	88684	77	8868	
271	Will	463212	93	46321	
272	Lalonde	78995	60	7899	
273	Rooney	687663	72	68766	
274	Eduardo	266446	80	26644	
275	Bernal	257785	66	25778	
276	Leslie	26784	88	2678	
277	Rozencwajg	248744	71	24874	
278	Southwick	263882	68	26388	
279	Perry	226261	52	22626	
280	Threads	807001	36	80700	
281	Gattet	80340	99	8034	
282	Upchurch	297	92	29	
283	Tomlinson	62818	55	6281	
284	me	142840	84	14284	
285	renegadeZERO	166217	99	16621	
286	Stephen	282578	87	28257	
287	Ecards	520107	117	52010	
288	Putri	99149	59	9914	
289	nona	21804	71	2180	
290	Athena	121788	103	12178	
291	Eric	366153	81	36615	
292	Ubbergen	4561353	69	1824541	
293	heatherxrayex	8691	84	869	
294	HANNAH	18782	88	1878	
295	Mokiwa	6125	78	612	
296	Atiqah	429280	77	42928	
297	Walker	896	88	89	
298	Clarke	142393	85	14239	
299	K	86693	75	8669	
300	Alam	710551	74	71055	
301	sensor	656861	120	65686	
302	WordamouPH	37342	103	3734	
